Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1990,119081,119059,119203,118852,119151,118983,118810,118802,118524,118536,118306,118241
1991,117940,117755,117652,118109,117440,117639,117568,117484,117928,117800,117770,117466
1992,117978,117753,118144,118426,118375,118419,118713,118826,118720,118628,118876,118997
1993,119075,119275,119542,119474,120115,120290,120467,120856,120554,120823,121169,121464
1994,121966,122086,121930,122290,122864,122634,122706,123342,123687,124112,124516,124721
1995,124663,124928,124955,124945,124421,124522,124816,124852,125133,125388,125188,125088
1996,125125,125639,125862,125994,126244,126602,126947,127172,127536,127890,127771,127860
1997,128298,128298,128891,129143,129464,129412,129822,130010,130019,130179,130653,130679
1998,130726,130807,130814,131209,131325,131244,131329,131390,131986,131999,132280,132602
1999,133027,132856,132947,132955,133311,133378,133414,133591,133707,133993,134309,134523
2000,136559,136598,136701,137270,136630,136940,136531,136662,136893,137088,137322,137614
2001,137778,137612,137783,137299,137092,136873,137071,136241,136846,136392,136238,136047
2002,135701,136438,136177,136126,136539,136415,136413,136705,137302,137008,136521,136426
2003,137417,137482,137434,137633,137544,137790,137474,137549,137609,137984,138424,138411
2004,138472,138542,138453,138680,138852,139174,139556,139573,139487,139732,140231,140125
2005,140245,140385,140654,141254,141609,141714,142026,142434,142401,142548,142499,142752
2006,143150,143457,143741,143761,144089,144353,144202,144625,144815,145314,145534,145970
2007,146028,146057,146320,145586,145903,146063,145905,145682,146244,145946,146595,146273
2008,146378,146156,146086,146132,145908,145737,145532,145203,145076,144802,144100,143369
2009,142152,141640,140707,140656,140248,140009,139901,139492,138818,138432,138659,138013
2010,138438,138581,138751,139297,139241,139141,139179,139438,139396,139119,139044,139301
2011,139250,139394,139639,139586,139624,139384,139524,139942,140183,140368,140826,140902
2012,141584,141858,142036,141899,142206,142391,142292,142291,143044,143431,143333,143330
2013,143292,143362,143316,143635,143882,143999,144264,144326,144418,143537,144479,144778
2014,145150,145134,145648,145667,145825,146247,146399,146530,146778,147427,147404,147615
2015,148145,148045,148128,148511,148817,148816,148830,149181,148826,149246,149463,150128
2016,150621,150908,151157,151006,151119,151187,151465,151770,151850,151907,152063,152216
2017,152129,152368,152978,153224,153001,153299,153471,153593,154371,153779,153813,153977
2018,154486,155142,155191,155324,155665,155750,155993,155601,156032,156482,156628,156825
2019,156627,156866,156741,156696,156844,157148,157346,157895,158298,158544,158536,158803
2020,158714,158759,155772,133403,137242,142182,143532,147288,147563,,,
